category,sequence,frames_analyzed,groups_analyzed,cue,label,coverage,top_disagreement_share,top_disagreement_enrichment,top_excess_share,top_excess_enrichment,excess_mass_share,mean_excess_enrichment
ball,123_14363_28981,202,34,corner,Harris corner,0.08259687174785531,0.06873537378613942,0.8321788989293555,0.0906705485636367,1.0977479733182633,0.08352134693074866,1.011192617387684
ball,123_14363_28981,202,34,low_texture,Low texture,0.20003295690939393,0.17008605281099706,0.8502901493779274,0.1570730988225322,0.7852360993377674,0.19457070983897645,0.9726932643759716
ball,123_14363_28981,202,34,high_texture,High texture,0.20002816451764763,0.21484088521992298,1.0740531751515847,0.2534375057583519,1.2670091052902313,0.20587550871906501,1.0292326043960751
ball,123_14363_28981,202,34,thin_structure,Thin/protrusion heuristic,8.110201416852188e-06,3.3168107022425324e-05,4.0896773480255755,3.3168107022425324e-05,4.0896773480255755,1.5409134410747744e-05,1.8999693865468132
ball,123_14363_28981,202,34,high_depth_gradient,High GT depth gradient,0.025149365948139685,0.07919438353387753,3.14896143692782,0.06457093368221269,2.5674974794737935,0.028444087098405013,1.1310061318070344
ball,123_14363_28981,202,34,smooth_flat,Smooth/flat interior,0.025112501396244904,0.008428384528920746,0.3356250496886404,0.012773406548858465,0.5086473206037725,0.024838735321704834,0.9890984147608248
plant,374_42005_84358,200,34,object_boundary,Object boundary,0.03682523532051767,0.06557462999580561,1.7806981931021044,0.05386781712505243,1.4627962769606324,0.042623424499215884,1.1574515173693316
plant,374_42005_84358,200,34,rgb_edge,RGB edge,0.10003379114971578,0.11549523638324645,1.1545622239827966,0.10371352387800348,1.0367848972431768,0.08796771336431795,0.8793799810372166
plant,374_42005_84358,200,34,corner,Harris corner,0.08899397528525799,0.09963149379831027,1.1195307713691312,0.09027278446881179,1.0143696152402986,0.07477131343453328,0.8401839921732238
plant,374_42005_84358,200,34,low_texture,Low texture,0.20002974520274316,0.17137785367607405,0.8567618456063695,0.2015624063754569,1.0076621663001184,0.22222972388288245,1.110983387283917
plant,374_42005_84358,200,34,high_texture,High texture,0.20002974520274316,0.2265227095691773,1.1324451237968722,0.20033405236982443,1.0015213095770974,0.17335009918079228,0.8666216067269928
plant,374_42005_84358,200,34,thin_structure,Thin/protrusion heuristic,0.00017682286769228926,0.00037824315417340766,2.13910767939605,0.0003520282821019833,1.9908526917151355,0.00018345871819202864,1.037528237078969
plant,374_42005_84358,200,34,high_depth_gradient,High GT depth gradient,0.031169525927402224,0.028671580082689198,0.9198593571640756,0.029634040385882916,0.9507376036101528,0.02823599185218191,0.9058845462695555
plant,374_42005_84358,200,34,smooth_flat,Smooth/flat interior,0.04404200592056907,0.03230421235544371,0.7334863996364112,0.04762493259032896,1.081352485993072,0.06191672695381322,1.4058561970470118
toaster,416_57389_110765,201,34,object_boundary,Object boundary,0.05297421720231932,0.12223289212489519,2.307403461160415,0.1030163177847371,1.944650118968192,0.06702601030265032,1.2652572108175635
toaster,416_57389_110765,201,34,rgb_edge,RGB edge,0.10003078896084927,0.1461470105560373,1.461020272600642,0.12740699865989208,1.2736778344291326,0.11191799701827335,1.1188354923610226
toaster,416_57389_110765,201,34,corner,Harris corner,0.043722833401613856,0.10476132462860378,2.3960323812119855,0.09774188231415856,2.23548829547151,0.06351239362579157,1.4526138560692472
toaster,416_57389_110765,201,34,low_texture,Low texture,0.2000332621136998,0.11228957797349882,0.5613545306763679,0.11591575235952158,0.5794823877522657,0.1583716643332159,0.7917266491569624
toaster,416_57389_110765,201,34,high_texture,High texture,0.20003039469010497,0.27625930730036335,1.3810866479984467,0.2522054449946611,1.260835611434891,0.2218787262789892,1.1092250586353765
toaster,416_57389_110765,201,34,thin_structure,Thin/protrusion heuristic,2.043039311302201e-05,3.224858643696118e-05,1.5784613765658009,2.1499057624640786e-05,1.0523075843772005,1.5854290315823317e-05,0.7760149414706095
toaster,416_57389_110765,201,34,high_depth_gradient,High GT depth gradient,0.04192029924432635,0.07515353910320265,1.792772009216375,0.0747271411269806,1.7826003743781589,0.049015851225520254,1.1692629134119132
toaster,416_57389_110765,201,34,smooth_flat,Smooth/flat interior,0.021404600279358744,0.006822367619552676,0.318733708198781,0.0077969915652030585,0.36426709508432115,0.016829540281834823,0.7862580969598474
toytrain,240_25394_51994,202,34,object_boundary,Object boundary,0.036920649172210204,0.1263044402900185,3.420970192070365,0.11049783870935834,2.992846582787849,0.05590906939966491,1.5143035307663846
toytrain,240_25394_51994,202,34,rgb_edge,RGB edge,0.10002188971294795,0.08458213399012829,0.8456362325573922,0.08525722820657389,0.8523856972833941,0.09649147023807578,0.9647035315469032
toytrain,240_25394_51994,202,34,corner,Harris corner,0.05834140284615737,0.04859689209373176,0.8329743496548879,0.050092980009298,0.8586180236596309,0.056890333397649484,0.9751279644006116
toytrain,240_25394_51994,202,34,low_texture,Low texture,0.2000202819939179,0.2517211193210481,1.2584779743921286,0.28099498501439213,1.4048324610548069,0.21480609748020527,1.073921581046151
toytrain,240_25394_51994,202,34,high_texture,High texture,0.2000202819939179,0.16240343432544982,0.8119348333404914,0.1684125147135919,0.8419771886868598,0.19134487940828065,0.9566273854873326
toytrain,240_25394_51994,202,34,thin_structure,Thin/protrusion heuristic,0.0,0.0,nan,0.0,nan,0.0,nan
toytrain,240_25394_51994,202,34,high_depth_gradient,High GT depth gradient,0.043402230277306796,0.06761575516583083,1.557886650843016,0.07100359061099736,1.635943364139104,0.046783262271181326,1.0778999598009673
toytrain,240_25394_51994,202,34,smooth_flat,Smooth/flat interior,0.03271708226203594,0.03742198086985766,1.1438055683003603,0.03978604706371109,1.216063423536939,0.03428391084394207,1.0478902296163566
teddybear,34_1479_4753,200,34,object_boundary,Object boundary,0.04394979961502601,0.11630368708994487,2.646284809229978,0.09264887752321463,2.1080614322423186,0.06865936895144267,1.56222257104373
teddybear,34_1479_4753,200,34,rgb_edge,RGB edge,0.10003243063408879,0.1573109466814793,1.5725994628373179,0.129987912325934,1.2994577008872268,0.10599858177562715,1.0596421690817661
teddybear,34_1479_4753,200,34,corner,Harris corner,0.08701789136576303,0.13305524695886697,1.529056207528573,0.11345295239692288,1.303788802696277,0.08751432595821942,1.0057049715255653
teddybear,34_1479_4753,200,34,low_texture,Low texture,0.20002781765596409,0.11318045569832519,0.5658235790633321,0.13048050251186058,0.6523117836354104,0.19493090765743606,0.9745189941166363
teddybear,34_1479_4753,200,34,high_texture,High texture,0.20002746818792433,0.29062122260185436,1.4529065694558403,0.26014351492792814,1.3005389573972173,0.19958709468702202,0.9977984348605133
teddybear,34_1479_4753,200,34,thin_structure,Thin/protrusion heuristic,3.84414843724882e-06,1.7467737089595516e-05,4.5439809036346235,3.4935474179191032e-06,0.9087961807269246,4.660536712189979e-06,1.2123716834216298
teddybear,34_1479_4753,200,34,high_depth_gradient,High GT depth gradient,0.02208672958023297,0.038715492485379505,1.7528847964901437,0.038044731381139035,1.7225153793338444,0.020545050041672154,0.9301988312502103
teddybear,34_1479_4753,200,34,smooth_flat,Smooth/flat interior,0.03202385329052117,0.011940945074447495,0.3728765856537923,0.01731052745578916,0.5405510479562731,0.026219165404717977,0.818738618580877
skateboard,366_39266_76077,202,34,object_boundary,Object boundary,0.05971967851258271,0.151479472285696,2.53650850203053,0.14308058167187054,2.395869924881193,0.06477142947007276,1.0845910608247107
skateboard,366_39266_76077,202,34,rgb_edge,RGB edge,0.10002832411394087,0.17019600318628733,1.7014781032662252,0.17114665643333507,1.7109819438580647,0.10485744280440946,1.0482775127269732
skateboard,366_39266_76077,202,34,corner,Harris corner,0.07627852549431977,0.14656049585143063,1.9213860637925488,0.14576973841046126,1.9110193526396404,0.08124047378596509,1.065050396025482
skateboard,366_39266_76077,202,34,low_texture,Low texture,0.20005403100996114,0.07881700361073803,0.39397858275004494,0.08226203143260828,0.41119906965789793,0.19579929472965257,0.9787320642387021
skateboard,366_39266_76077,202,34,high_texture,High texture,0.20002524161283436,0.31910260659235873,1.5953116917614258,0.3208033165297377,1.6038141683672076,0.20865739916590992,1.0431553412133046
skateboard,366_39266_76077,202,34,thin_structure,Thin/protrusion heuristic,9.131182523032972e-05,9.884468012117195e-05,1.0824959403871401,0.00010175187659532406,1.1143340562808794,0.00012187347506292914,1.3346954214912374
skateboard,366_39266_76077,202,34,high_depth_gradient,High GT depth gradient,0.055381203606177334,0.05468145848232715,0.9873649347019224,0.055850151464936305,1.008467635736011,0.055585411307037404,1.0036873106318205
skateboard,366_39266_76077,202,34,smooth_flat,Smooth/flat interior,0.042961922968878956,0.01611459005622518,0.3750900551611336,0.015605830673248559,0.36324795527782155,0.04161861330047762,0.9687325525588226
hydrant,167_18184_34441,200,34,object_boundary,Object boundary,0.06050559352804229,0.19880321723367184,3.2856998112337052,0.13464862105985673,2.225391293739672,0.10126238051750144,1.6736036226232502
hydrant,167_18184_34441,200,34,rgb_edge,RGB edge,0.10003105559444352,0.191724599165772,1.9166507643694388,0.17278375191397244,1.7273010955166823,0.12954654110050004,1.295063221423168
hydrant,167_18184_34441,200,34,corner,Harris corner,0.08328075243268823,0.1487600978545909,1.7862482447529089,0.1407874126612577,1.6905156179400431,0.09722457059137475,1.1674314622692274
hydrant,167_18184_34441,200,34,low_texture,Low texture,0.2000300697025564,0.11263485805804396,0.5630896306016958,0.11868565092662665,0.5933390469898429,0.1859411494411291,0.9295659883417655
hydrant,167_18184_34441,200,34,high_texture,High texture,0.20002866128557487,0.3595593023460462,1.7975389128496655,0.3332441612840775,1.6659820604823972,0.23557391283921364,1.1777007921024476
hydrant,167_18184_34441,200,34,thin_structure,Thin/protrusion heuristic,0.00010387075239043573,0.00022879670532744328,2.202705767138648,0.0002956757422693113,2.846573606763791,0.00023926397306122608,2.3034778082849163
hydrant,167_18184_34441,200,34,high_depth_gradient,High GT depth gradient,0.04763477494200843,0.05969834034389905,1.2532512311977344,0.06618208697794752,1.3893649557181487,0.04598493269320493,0.9653647518895165
hydrant,167_18184_34441,200,34,smooth_flat,Smooth/flat interior,0.052033613279682034,0.022707193016420563,0.4363946992181536,0.03286928668227178,0.6316933345681474,0.047768773095000716,0.9180368243551013
skateboard,245_26182_52130,202,34,object_boundary,Object boundary,0.05492682421648257,0.09440675445320276,1.7187732187304026,0.10004690592501916,1.8214580462672527,0.06133195764424105,1.1166121202003958
skateboard,245_26182_52130,202,34,rgb_edge,RGB edge,0.1000249750606997,0.09745849969682756,0.9743416545486296,0.09513894450228237,0.951151894259886,0.10207772616319366,1.0205223855466923
skateboard,245_26182_52130,202,34,corner,Harris corner,0.05870398030374594,0.05265476095138945,0.8969538467228859,0.055185964831996705,0.9400719431025574,0.059458339897799514,1.0128502290670982
skateboard,245_26182_52130,202,34,low_texture,Low texture,0.2000213418044467,0.23229301330526606,1.1613411409487002,0.21629351668592478,1.0813521933943768,0.20868794620703204,1.0433283984818897
skateboard,245_26182_52130,202,34,high_texture,High texture,0.2000213418044467,0.21646798384605703,1.0822244361188698,0.22949295839101236,1.1473423601736406,0.20597095957466946,1.0297449148003388
skateboard,245_26182_52130,202,34,thin_structure,Thin/protrusion heuristic,2.0311905036408374e-05,1.1440469516868973e-05,0.5632396122550954,5.148211282591038e-05,2.5345782551479292,2.5503834223545088e-05,1.2556101546275626
skateboard,245_26182_52130,202,34,high_depth_gradient,High GT depth gradient,0.050187570430100296,0.06774474024413962,1.34983103711889,0.06651202965369699,1.325268967668656,0.050207959550652166,1.0004062583698938
