auc_top10_eQ,auc_top10_excess,category,delta_error_median,disagreement_median,excess_error_median,fraction_quant_worse,frame,full_error_median,group_id,n,quant_error_median,rho_d_delta,rho_d_eQ,rho_d_excess,sampled_pixels,scene_radius,sequence,top10_precision_eQ,top10_precision_excess,top10_quant_worse_fraction,valid_pixels
0.8284124444444444,0.9860142222222222,toytruck,0.020255279556363304,0.03917796979457888,0.020255279556363304,0.7846,147,0.07396740357418022,g0009,5000,0.09960635120323164,0.7784369302414772,0.4649133717805349,0.8012269912407827,5000,2.318862406694102,190_20494_39385,0.368,0.792,0.954,11411
0.6995097777777778,0.8702506666666666,toytruck,0.01967589947715304,0.04810028667013018,0.01967589947715304,0.716,180,0.05852987736616614,g0009,5000,0.07590105902562896,0.5242512531300502,0.46596138155045524,0.5536782090549395,5000,2.318862406694102,190_20494_39385,0.144,0.304,0.792,7321
0.6910044444444444,0.9742342222222222,toytruck,0.06440606074746671,0.08533862212101068,0.06440606074746671,0.945,11,0.04194200898652946,g0010,5000,0.10550964708565577,0.6576414108496564,0.5052216404648656,0.6584569115007424,5000,2.318862406694102,190_20494_39385,0.43,0.704,0.934,10403
0.7855373333333333,0.9847955555555555,toytruck,0.06011001958396483,0.08040776970603493,0.06011001958396483,0.957,44,0.07637966088395402,g0010,5000,0.12726185043162974,0.7342968226518729,0.33579349583173984,0.7353269276127443,5000,2.318862406694102,190_20494_39385,0.43,0.758,0.916,10168
0.3467093333333333,0.7422315555555555,toytruck,0.002608651104380716,0.0648796146243831,0.002608651104380716,0.5364,80,0.07987029102483309,g0010,5000,0.08569951753371148,0.08316882457475298,-0.16138423355936934,0.14557767245492512,5000,2.318862406694102,190_20494_39385,0.104,0.424,0.788,15002
0.8666208888888889,0.9500782222222223,toytruck,0.07356487776916379,0.08762180483002344,0.07356487776916379,0.99,115,0.07427354669372419,g0010,5000,0.14839427174494874,0.73434324767773,0.824993451143738,0.7343842155246912,5000,2.318862406694102,190_20494_39385,0.446,0.574,0.944,8922
0.5326102222222222,0.877968,toytruck,0.005401723050936311,0.06937299289333138,0.005401723050936311,0.5664,148,0.07984160471284947,g0010,5000,0.08249025771777727,0.343677149971086,-0.03993572617342905,0.3658935466167854,5000,2.318862406694102,190_20494_39385,0.384,0.588,0.92,9496
0.8599173333333333,0.987932,toytruck,0.03039656523262267,0.04783796656842486,0.03039656523262267,0.9574,181,0.05780040445075701,g0010,5000,0.08648521635121809,0.7251969592478784,0.5246158136246325,0.7259364375260093,5000,2.318862406694102,190_20494_39385,0.594,0.818,0.976,7147
0.6624022222222222,0.9571431111111111,toytruck,0.07513380962320397,0.09332569928091816,0.07513380962320397,0.9542,12,0.04732450991634031,g0011,5000,0.11857590602381549,0.6598539316741573,0.45534277427771097,0.6596162007002576,5000,2.318862406694102,190_20494_39385,0.25,0.598,0.988,10193
0.7646315555555555,0.9899395555555556,toytruck,0.062149778996583596,0.07783657377544981,0.062149778996583596,0.974,45,0.08520664882054946,g0011,5000,0.13998847398400904,0.8309584896223395,0.4894238572729543,0.8313376010161443,5000,2.318862406694102,190_20494_39385,0.31,0.858,0.946,10556
0.3921137777777778,0.7905817777777778,toytruck,-0.00387533196847549,0.056156700066744086,0.0,0.4458,81,0.07986337155716952,g0011,5000,0.07684375377403026,0.29917682867107315,0.07340152690406107,0.3628138172442151,5000,2.318862406694102,190_20494_39385,0.068,0.386,0.706,12980
0.8446631111111111,0.9606146666666666,toytruck,0.08383501977915203,0.10165170264153905,0.08383501977915203,0.9784,117,0.06264487547372605,g0011,5000,0.15187352773929058,0.7166017650800706,0.7914273686170947,0.7168453593440413,5000,2.318862406694102,190_20494_39385,0.536,0.58,0.95,8547
0.6374026666666667,0.8607155555555556,toytruck,0.022354837865772345,0.054480801642514495,0.022354837865772345,0.7944,149,0.10199205897613359,g0011,5000,0.12387182277830898,0.1647241576929663,-0.11005618059424722,0.18112488209764244,5000,2.318862406694102,190_20494_39385,0.334,0.628,0.808,10023
0.5491533333333334,0.8549071111111111,toytruck,0.034552889978361936,0.07114764908438957,0.034552889978361936,0.7442,182,0.05852924762673517,g0011,5000,0.08648822989340134,0.2552221014088841,0.025813338312533532,0.2749141072769717,5000,2.318862406694102,190_20494_39385,0.182,0.33,0.91,7164
0.6290093333333333,0.946612,toytruck,0.10753346183446168,0.1281858835504774,0.10753346183446168,0.9776,13,0.06425620924306907,g0012,5000,0.16958444628262326,0.5607260814370433,0.36134582424583295,0.5606523423764693,5000,2.318862406694102,190_20494_39385,0.256,0.57,0.99,9991
0.7333764444444445,0.9940897777777777,toytruck,0.036284235538139226,0.05672709086510856,0.036284235538139226,0.9052,46,0.09825793218547926,g0012,5000,0.12917919971546693,0.8023773646390946,0.5044339215533569,0.8036725035710978,5000,2.318862406694102,190_20494_39385,0.492,0.904,0.962,10511
0.6798008888888889,0.8392768888888889,toytruck,0.027699965724813244,0.13307344346703082,0.027699965724813244,0.6212,84,0.08102362011423168,g0012,5000,0.11781183499498266,0.49821211608848465,0.39341371583254864,0.4850151130004234,5000,2.318862406694102,190_20494_39385,0.372,0.44,0.858,13046
0.48770755555555556,0.7780946666666667,toytruck,0.0611813589728533,0.10610278238231177,0.0611813589728533,0.8916,118,0.06097923851083844,g0012,5000,0.13188723497107785,0.3169656772866271,0.1343328329253133,0.31815388636847425,5000,2.318862406694102,190_20494_39385,0.136,0.134,0.882,8196
0.43615866666666664,0.6498675555555555,toytruck,-0.015596416943965602,0.04765412986146497,0.0,0.3194,150,0.1020971317838739,g0012,5000,0.08648084569608681,-0.11146001092240043,-0.3722002802960112,0.0032320450761225117,5000,2.318862406694102,190_20494_39385,0.024,0.16,0.362,10563
0.5954817777777778,0.7833866666666667,toytruck,0.05244185134656384,0.08534583739489449,0.05244185134656384,0.8608,183,0.06458052607870392,g0012,5000,0.11279488779462399,0.22510434785217392,0.011533543277341731,0.22425134450910547,5000,2.318862406694102,190_20494_39385,0.25,0.376,0.808,8158
0.5557271111111111,0.8782942222222222,toytruck,0.08283608327949227,0.12792812927314956,0.08283608327949227,0.898,14,0.06914274884578633,g0013,5000,0.14159720402376938,0.35763469084938765,0.2179839948313598,0.35914650874294574,5000,2.318862406694102,190_20494_39385,0.138,0.322,0.924,10557
0.6626626666666666,0.8221186666666667,toytruck,-0.004426447313130966,0.05517291454053572,0.0,0.4626,47,0.11147473454509643,g0013,5000,0.10259428309445473,-0.15410473672418948,-0.21700238941609556,0.015620477796153914,5000,2.318862406694102,190_20494_39385,0.306,0.438,0.526,11826
