category,sequence,n_views,full_psnr,quant_psnr,full_minus_quant_psnr,full_ssim,quant_ssim,full_minus_quant_ssim,full_lpips,quant_lpips,quant_minus_full_lpips
cake,403_53094_103680,9,11.19202655795984,10.667907467829199,0.5241190901306414,0.3083803885512882,0.28984752628538346,0.018532862265904726,0.6474869317478604,0.6702986690733168,0.022811737325456383
donut,391_47032_93657,9,8.004176666779133,7.718663616656013,0.2855130501231198,0.24592949167385492,0.2430700899826156,0.002859401691239327,0.8382103012667762,0.8465553522109985,0.008345050944222332
donut,403_52964_103416,9,11.27183378566501,11.464406590171503,-0.1925728045064936,0.47120625111791825,0.4548712389336692,0.016335012184249043,0.6532346109549204,0.6491275462839339,-0.004107064670986538
hydrant,167_18184_34441,9,8.397706971180968,7.744937507019606,0.652769464161362,0.21785746266444525,0.21334457728597853,0.0045128853784667244,0.741381049156189,0.7698962026172214,0.028515153461032394
hydrant,411_56064_108483,9,8.938735572439658,9.056815422835205,-0.11807985039554758,0.32176675895849866,0.3297356499565972,-0.007968890998098555,0.7140491339895461,0.7112330430083804,-0.002816090981165642
mouse,107_12753_23606,9,8.238467653434679,7.636945095150637,0.6015225582840422,0.4137376546859741,0.38464974860350293,0.029087906082471193,0.7110960715346866,0.7385309206114875,0.027434849076800938
mouse,377_43416_86289,9,9.133789106232236,8.660869863699638,0.47291924253259765,0.23226166599326664,0.22422008713086447,0.008041578862402171,0.6620129446188608,0.6998735070228577,0.03786056240399682
orange,374_42196_84367,9,10.398977922437885,10.263083862707749,0.1358940597301359,0.41328395240836674,0.4228900240527259,-0.009606071644359171,0.6786874300903745,0.6971101727750566,0.018422742684682136
orange,385_45386_90752,9,9.224147844650822,9.184667989739745,0.039479854911077084,0.40923570262061226,0.4121240832739406,-0.0028883806533283596,0.7269000079896715,0.717665327919854,-0.009234680069817425
plant,247_26441_50907,9,9.981835572429313,9.528791929061091,0.4530436433682219,0.24600479503472647,0.23979218635294172,0.006212608681784748,0.6322787486844592,0.6572067456112968,0.02492799692683756
plant,374_42005_84358,9,9.406437658201657,9.399999380619374,0.006438277582283547,0.38593824373351204,0.38525335325135124,0.0006848904821608048,0.6846757895416684,0.6884018629789352,0.0037260734372668303
remote,195_20989_41543,9,7.951247854453778,7.737505571203845,0.2137422832499336,0.4173409591118495,0.4187760866350598,-0.001435127523210289,0.6601231280300353,0.6651947912242677,0.0050716631942324675
remote,350_36761_68623,9,10.227247786599195,9.953339276838799,0.27390850976039616,0.3090827431943681,0.33110636803838944,-0.022023624844021317,0.6567800905969408,0.6629321244027879,0.006152033805847168
skateboard,245_26182_52130,9,10.712707597179323,10.509931471351406,0.20277612582791704,0.2819892548852497,0.29407543771796757,-0.012086182832717896,0.604937516980701,0.6213680456082026,0.016430528627501606
skateboard,366_39266_76077,9,10.093327808955868,9.460006440070261,0.633321368885607,0.3453519377443526,0.33010025322437286,0.015251684519979714,0.6466679639286466,0.6799165937635634,0.03324862983491683
suitcase,410_55734_107452,9,11.808436837971248,12.226829208868912,-0.41839237089766357,0.3564060694641537,0.3323169532749388,0.024089116189214888,0.6635294407606125,0.6404132511880662,-0.023116189572546242
suitcase,50_2928_8645,9,10.520858786948352,10.22473103003078,0.2961277569175724,0.23286809689468807,0.2328810410367118,-1.2944142023740834e-05,0.6694231960508559,0.6963562634256151,0.0269330673747592
teddybear,187_20215_38541,9,11.430704963736293,11.277872791933904,0.15283217180238928,0.3473937229977714,0.36284049683147007,-0.01544677383369869,0.6086345033513175,0.6176502505938212,0.009015747242503647
teddybear,34_1479_4753,9,8.124344745735009,8.557008871570797,-0.43266412583578884,0.3147568421231376,0.33814025587505764,-0.023383413751920046,0.6904031336307526,0.674092580874761,-0.01631055275599158
toaster,372_41229_82130,9,9.429837944324452,9.989171366660836,-0.5593334223363833,0.24127119779586792,0.24792890085114372,-0.006657703055275799,0.6888562507099576,0.7003888918293847,0.01153264111942709
toaster,416_57389_110765,9,8.962864799668061,8.886075729680245,0.0767890699878162,0.24633026123046875,0.2523000306553311,-0.005969769424862326,0.6553526288933225,0.6539041499296824,-0.0014484789636400874
toytrain,240_25394_51994,9,9.593410089709895,8.531967291455036,1.061442798254859,0.31998446418179405,0.2805725716882282,0.03941189249356586,0.6956573923428854,0.7519842386245728,0.05632684628168738
toytrain,399_51323_100753,9,7.399180024523512,7.62632380124813,-0.22714377672461783,0.43815891610251534,0.39127015901936424,0.0468887570831511,0.7731255624029372,0.7454389068815443,-0.027686655521392822
toytruck,190_20494_39385,9,10.81109091462713,10.716108890173878,0.09498202445325177,0.26176271008120644,0.2729082653919856,-0.011145555310779154,0.592276910940806,0.6016936235957675,0.009416712654961468
toytruck,346_36113_66551,9,8.53746999162773,8.589665842116723,-0.052195850488992335,0.29280100266138714,0.2854819479915831,0.007319054669804037,0.6978163487381406,0.6883892483181424,-0.009427100419998169
vase,374_41862_83720,9,9.75904939176814,9.41434248220595,0.3447069095621913,0.38306791914833915,0.38148946563402814,0.0015784535143110179,0.6244180864757962,0.6401901874277327,0.015772100951936485
vase,380_44863_89631,9,11.943620652127244,10.569728543300236,1.3738921088270075,0.34296685126092696,0.3376687963803609,0.005298054880566061,0.6152705318397946,0.6782145400842031,0.06294400824440849
