category,sequence,full_psnr_7k,quant_psnr_7k,full_minus_quant_psnr_7k,full_ssim_7k,quant_ssim_7k,full_minus_quant_ssim_7k,full_lpips_7k,quant_lpips_7k,quant_minus_full_lpips_7k,full_psnr_30k,quant_psnr_30k,full_minus_quant_psnr_30k,full_ssim_30k,quant_ssim_30k,full_minus_quant_ssim_30k,full_lpips_30k,quant_lpips_30k,quant_minus_full_lpips_30k
hydrant,167_18184_34441,8.405240118321567,8.04415439251149,0.36108572581007614,0.2299947589635849,0.22111962735652924,0.008875131607055664,0.7534579535325369,0.7664107812775506,0.012952827745013717,8.397706971180968,7.744937507019606,0.652769464161362,0.21785746266444525,0.21334457728597853,0.0045128853784667244,0.741381049156189,0.7698962026172214,0.028515153461032394
hydrant,411_56064_108483,8.877067174318162,9.22019630677737,-0.3431291324592074,0.3262861967086792,0.3348136196533839,-0.00852742294470471,0.7150970300038656,0.7040367275476456,-0.011060302456220028,8.938735572439658,9.056815422835205,-0.11807985039554758,0.32176675895849866,0.3297356499565972,-0.007968890998098555,0.7140491339895461,0.7112330430083804,-0.002816090981165642
mouse,107_12753_23606,8.115333796551816,7.45579128229936,0.6595425142524558,0.43303529421488446,0.41089823676480186,0.022137057450082598,0.7092285321818458,0.7357023159662882,0.02647378378444243,8.238467653434679,7.636945095150637,0.6015225582840422,0.4137376546859741,0.38464974860350293,0.029087906082471193,0.7110960715346866,0.7385309206114875,0.027434849076800938
mouse,377_43416_86289,9.061668216802298,8.629066771008867,0.43260144579343063,0.2445024847984314,0.23832443190945518,0.006178052888976215,0.6565572023391724,0.6992590957217746,0.04270189338260222,9.133789106232236,8.660869863699638,0.47291924253259765,0.23226166599326664,0.22422008713086447,0.008041578862402171,0.6620129446188608,0.6998735070228577,0.03786056240399682
orange,374_42196_84367,10.54565400072223,10.253589789714788,0.2920642110074425,0.4486798875861698,0.4522901773452759,-0.0036102897591061,0.6724176572428809,0.681978401210573,0.00956074396769202,10.398977922437885,10.263083862707749,0.1358940597301359,0.41328395240836674,0.4228900240527259,-0.009606071644359171,0.6786874300903745,0.6971101727750566,0.018422742684682136
orange,385_45386_90752,9.216262192863562,9.009234007317321,0.2070281855462408,0.40703382591406506,0.40196100374062854,0.00507282217343652,0.7191579408115811,0.7204330894682143,0.0012751486566331405,9.224147844650822,9.184667989739745,0.039479854911077084,0.40923570262061226,0.4121240832739406,-0.0028883806533283596,0.7269000079896715,0.717665327919854,-0.009234680069817425
plant,247_26441_50907,10.066756036299385,9.505853889672725,0.5609021466266597,0.2657188011540307,0.2596699827247196,0.006048818429311098,0.6378958854410384,0.661571838789516,0.023675953348477607,9.981835572429313,9.528791929061091,0.4530436433682219,0.24600479503472647,0.23979218635294172,0.006212608681784748,0.6322787486844592,0.6572067456112968,0.02492799692683756
plant,374_42005_84358,9.38729877535443,9.260315659193097,0.12698311616133395,0.4035151931974623,0.4047227766778734,-0.0012075834804110563,0.685918402340677,0.6946776310602824,0.008759228719605328,9.406437658201657,9.399999380619374,0.006438277582283547,0.38593824373351204,0.38525335325135124,0.0006848904821608048,0.6846757895416684,0.6884018629789352,0.0037260734372668303
remote,195_20989_41543,8.047559372852476,7.773276113588458,0.27428325926401786,0.45226004388597274,0.451399306456248,0.0008607374297247561,0.6515795133180089,0.6639604022105535,0.012380888892544628,7.951247854453778,7.737505571203845,0.2137422832499336,0.4173409591118495,0.4187760866350598,-0.001435127523210289,0.6601231280300353,0.6651947912242677,0.0050716631942324675
remote,350_36761_68623,10.127611756727623,9.706434512411724,0.4211772443158992,0.33017799258232117,0.3375990192095439,-0.0074210266272227154,0.6564556095335219,0.6603345572948456,0.0038789477613236922,10.227247786599195,9.953339276838799,0.27390850976039616,0.3090827431943681,0.33110636803838944,-0.022023624844021317,0.6567800905969408,0.6629321244027879,0.006152033805847168
skateboard,245_26182_52130,10.61852586846792,10.484051295367747,0.13447457310017263,0.2913203736146291,0.3055398066838582,-0.014219433069229126,0.6103785402244992,0.6245676908228133,0.014189150598314049,10.712707597179323,10.509931471351406,0.20277612582791704,0.2819892548852497,0.29407543771796757,-0.012086182832717896,0.604937516980701,0.6213680456082026,0.016430528627501606
skateboard,366_39266_76077,9.975430813715766,9.511124382862407,0.4643064308533589,0.3545640773243374,0.3335639950301912,0.02100008229414624,0.6579087906413608,0.6900398333867391,0.03213104274537837,10.093327808955868,9.460006440070261,0.633321368885607,0.3453519377443526,0.33010025322437286,0.015251684519979714,0.6466679639286466,0.6799165937635634,0.03324862983491683
suitcase,410_55734_107452,11.330966430870681,12.347326123961984,-1.016359693091303,0.38307996094226837,0.3578869667318132,0.025192994210455177,0.6824390391508738,0.6485927402973175,-0.03384629885355628,11.808436837971248,12.226829208868912,-0.41839237089766357,0.3564060694641537,0.3323169532749388,0.024089116189214888,0.6635294407606125,0.6404132511880662,-0.023116189572546242
